view,mask_type,date,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc,mean_train_f1,std_train_f1,mean_test_f1,std_test_f1
overhead,all,2024-12-21,0.8583333333333334,0.11636866703140784,0.5666666666666667,0.14907119849998596,0.8567986141825152,0.1185509013099519,0.5666666666666667,0.14337208778404378
overhead,all,2024-12-22,0.8666666666666668,0.12977009585331198,0.5666666666666667,0.09128709291752767,0.8628748719460795,0.13486670781364413,0.5422222222222223,0.11122216672215286
overhead,all,2024-12-23,1.0,0.0,0.7666666666666666,0.14907119849998599,1.0,0.0,0.7622222222222221,0.14981470036162822
overhead,all,2024-12-24,1.0,0.0,0.7333333333333333,0.190029237516523,1.0,0.0,0.72,0.20083160441856093
overhead,all,2024-12-25,0.9416666666666668,0.047507309379130766,0.8666666666666668,0.07453559924999298,0.9415032679738562,0.047650824241327334,0.857777777777778,0.07950463919999248
overhead,all,2024-12-26,0.9,0.03726779962499651,0.7666666666666667,0.190029237516523,0.8996732026143791,0.03745075226065184,0.7555555555555556,0.20000000000000004
overhead,all,2024-12-27,0.9583333333333333,0.041666666666666685,0.7333333333333333,0.190029237516523,0.9583006535947712,0.04166673074453616,0.7244444444444444,0.19913392726417647
overhead,all,2024-12-28,0.9833333333333334,0.022821773229381902,0.8333333333333334,0.11785113019775793,0.9832679738562092,0.022911270379301046,0.8266666666666668,0.11800816042090449
overhead,all,2024-12-29,0.9833333333333334,0.022821773229381902,0.8666666666666666,0.18257418583505539,0.9832679738562092,0.022911270379301046,0.8666666666666666,0.18257418583505539
overhead,all,2024-12-30,1.0,0.0,0.8,0.2173067468400883,1.0,0.0,0.768888888888889,0.24825315633367012
overhead,all,2024-12-31,1.0,0.0,0.7666666666666667,0.19002923751652304,1.0,0.0,0.7555555555555556,0.20000000000000004
overhead,plug,2024-12-21,0.8416666666666666,0.13307266185559427,0.5666666666666667,0.149071198499986,0.8420834829658359,0.1328847932935393,0.5558730158730159,0.15558551703682133
overhead,plug,2024-12-22,0.75,0.14129854131510977,0.5333333333333333,0.13944333775567927,0.739087833963995,0.14949843710155697,0.5222222222222223,0.14337208778404378
overhead,plug,2024-12-23,0.875,0.10622957319984966,0.6666666666666666,0.11785113019775793,0.8746405228758171,0.10655013137869639,0.6688888888888889,0.10610965676722954
overhead,plug,2024-12-24,0.8666666666666668,0.09033118078616166,0.7333333333333333,0.19002923751652304,0.8632633053221289,0.09374761225988962,0.7136507936507936,0.21723890941581422
overhead,plug,2024-12-25,0.8833333333333334,0.09033118078616167,0.6666666666666666,0.11785113019775793,0.875219845513963,0.10091858271505691,0.6577777777777778,0.12629575323006959
overhead,plug,2024-12-26,0.8916666666666668,0.12360330811826102,0.5666666666666668,0.25276251480171835,0.8907794057794058,0.12491454675601636,0.5266666666666667,0.2732520204255893
overhead,plug,2024-12-27,0.8333333333333334,0.08838834764831845,0.7666666666666666,0.09128709291752772,0.8191467104160604,0.0957166381877994,0.7577777777777778,0.08833158628600801
overhead,plug,2024-12-28,0.9333333333333332,0.08640183897219886,0.5666666666666667,0.14907119849998596,0.930202095233055,0.09228410053864777,0.531111111111111,0.1466498306835237
overhead,plug,2024-12-29,0.9166666666666667,0.08333333333333331,0.6333333333333333,0.13944333775567927,0.9162319259687681,0.08359854981369923,0.611111111111111,0.16348821077291295
overhead,plug,2024-12-30,0.9166666666666666,0.05103103630798288,0.7,0.1394433377556793,0.9150414497782918,0.052166264811981555,0.68,0.1597451674340057
overhead,plug,2024-12-31,0.95,0.11180339887498948,0.6333333333333333,0.13944333775567927,0.9475689223057644,0.1172394538578837,0.6088888888888888,0.15974516743400574
overhead,all_plug,2024-12-21,0.775,0.06972166887783961,0.6,0.14907119849998599,0.7737716211090825,0.06922241814905558,0.611111111111111,0.1335646142241257
overhead,all_plug,2024-12-22,0.8333333333333334,0.1102396379610246,0.6333333333333333,0.07453559924999298,0.8328665996313054,0.11215330690988924,0.6355555555555555,0.06353768202442574
overhead,all_plug,2024-12-23,1.0,0.0,0.8666666666666668,0.13944333775567927,1.0,0.0,0.8600000000000001,0.14478592114899486
overhead,all_plug,2024-12-24,1.0,0.0,0.8,0.18257418583505536,1.0,0.0,0.7866666666666667,0.1947457982240591
overhead,all_plug,2024-12-25,0.95,0.03486083443891984,0.9,0.09128709291752767,0.9499346405228758,0.034841414031927614,0.8933333333333333,0.09737289911202948
overhead,all_plug,2024-12-26,0.8833333333333332,0.03486083443891978,0.7333333333333333,0.190029237516523,0.8826081543728602,0.03587077881422716,0.7222222222222222,0.2
overhead,all_plug,2024-12-27,0.9583333333333333,0.041666666666666685,0.6666666666666666,0.0,0.9583006535947712,0.04166673074453616,0.6444444444444444,0.049690399499995354
overhead,all_plug,2024-12-28,0.9666666666666668,0.01863389981249823,0.7333333333333333,0.09128709291752772,0.9665359477124185,0.018706973929409988,0.7066666666666667,0.1148267616245673
overhead,all_plug,2024-12-29,0.9833333333333334,0.022821773229381902,0.7666666666666666,0.09128709291752772,0.9832679738562092,0.022911270379301046,0.76,0.0852012867230259
