view,mask_type,date,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc,mean_train_f1,mean_test_f1,std_test_f1
overhead,all,2024-12-21,0.8583333333333334,0.11636866703140784,0.5666666666666667,0.14907119849998596,0.8567986141825152,0.5666666666666667,0.14337208778404378
overhead,all,2024-12-22,0.8666666666666668,0.12977009585331198,0.5666666666666667,0.09128709291752767,0.8628748719460795,0.5422222222222223,0.11122216672215286
overhead,all,2024-12-23,1.0,0.0,0.7666666666666666,0.14907119849998599,1.0,0.7622222222222221,0.14981470036162822
overhead,all,2024-12-24,1.0,0.0,0.7333333333333333,0.190029237516523,1.0,0.72,0.20083160441856093
overhead,all,2024-12-25,0.9416666666666668,0.047507309379130766,0.8666666666666668,0.07453559924999298,0.9415032679738562,0.857777777777778,0.07950463919999248
overhead,all,2024-12-26,0.9,0.03726779962499651,0.7666666666666667,0.190029237516523,0.8996732026143791,0.7555555555555556,0.20000000000000004
overhead,all,2024-12-27,0.9583333333333333,0.041666666666666685,0.7333333333333333,0.190029237516523,0.9583006535947712,0.7244444444444444,0.19913392726417647
overhead,all,2024-12-28,0.9833333333333334,0.022821773229381902,0.8333333333333334,0.11785113019775793,0.9832679738562092,0.8266666666666668,0.11800816042090449
overhead,all,2024-12-29,0.9833333333333334,0.022821773229381902,0.8666666666666666,0.18257418583505539,0.9832679738562092,0.8666666666666666,0.18257418583505539
overhead,all,2024-12-30,1.0,0.0,0.8,0.2173067468400883,1.0,0.768888888888889,0.24825315633367012
overhead,all,2024-12-31,1.0,0.0,0.7666666666666667,0.19002923751652304,1.0,0.7555555555555556,0.20000000000000004
overhead,new_growth,2024-12-21,0.775,0.06972166887783961,0.6,0.14907119849998599,0.7737716211090825,0.611111111111111,0.1335646142241257
overhead,new_growth,2024-12-22,0.925,0.07453559924999298,0.7666666666666667,0.09128709291752773,0.9259150326797385,0.76,0.0852012867230259
overhead,new_growth,2024-12-23,0.95,0.07453559924999298,0.7333333333333332,0.149071198499986,0.9487439249203955,0.7244444444444443,0.15404023844998552
overhead,new_growth,2024-12-24,0.9416666666666667,0.08640183897219886,0.6666666666666667,0.16666666666666669,0.9428669713499435,0.6466666666666667,0.18599084007711936
overhead,new_growth,2024-12-25,0.925,0.045643546458763846,0.7,0.13944333775567927,0.9237114845938376,0.6844444444444445,0.14753112247510844
overhead,new_growth,2024-12-26,0.8416666666666668,0.08014743359029729,0.7,0.2173067468400883,0.8407153630683043,0.6558730158730158,0.2629210680646379
overhead,new_growth,2024-12-27,0.8416666666666668,0.06180165405913051,0.7,0.24720661623652213,0.8364313561681982,0.6644444444444445,0.2680980104549016
overhead,new_growth,2024-12-28,0.9666666666666668,0.054326686710022075,0.7666666666666667,0.190029237516523,0.9663694366635542,0.7644444444444445,0.18213412504572787
overhead,new_growth,2024-12-29,0.8666666666666668,0.07453559924999299,0.7666666666666666,0.09128709291752772,0.8608433058742657,0.7577777777777778,0.08833158628600801
overhead,new_growth,2024-12-30,0.95,0.07453559924999298,0.8,0.1394433377556793,0.9477777777777778,0.7911111111111111,0.14345817130292804
overhead,new_growth,2024-12-31,0.9583333333333334,0.0721687836487032,0.6333333333333333,0.1825741858350554,0.9580361033302209,0.6133333333333333,0.2062899792902107
raw,all,2024-12-21,0.9916666666666668,0.01863389981249823,0.8,0.13944333775567927,0.9916339869281046,0.7933333333333333,0.14089659985908765
raw,all,2024-12-22,0.9,0.10865337342004414,0.6333333333333333,0.13944333775567927,0.8994164332399628,0.6155555555555555,0.14878105547796
raw,all,2024-12-23,0.9916666666666668,0.01863389981249823,0.8333333333333334,0.11785113019775793,0.9916339869281046,0.8266666666666668,0.11800816042090448
