"plate","Fungal_Strain","Nitrogen_Level","Replication","LabB_mean_fpca1","LabB_mean_fpca2","LabB_mean_fpca3","Area_pixels_fpca1","Area_pixels_fpca2","Area_pixels_fpca3"
"1_FG_N-10_3_MV.003","FG","N-10","3",4.61756002023101,1.90971928421809,0.682754520588148,-652960.942801997,76630.8289774352,72436.5041383547
"10_LE_N-1_1_MV.003","LE","N-1","1",-7.89699032791762,-1.98934695783695,0.987623486699492,463155.696602975,-24385.6168064705,43585.9980651795
"11_FG_N-1_4_MV.003","FG","N-1","4",-10.2844280786088,-0.414042056563299,-0.229281082372838,690764.306137966,164406.143677572,-72769.9263800081
"12_FG_N-1_5_MV.003","FG","N-1","5",-9.27892639250725,0.233336516221307,-0.720724578265693,372553.461533127,261865.567398782,44625.612109385
"13_FG_N-1_1_MV.003","FG","N-1","1",-9.93023748087873,-0.464990798258829,-0.479328955396941,454731.936963819,245942.643180335,18020.3477422724
"14_LE_N-100_5_MV.003","LE","N-100","5",5.15240464142149,-7.03123712709997,-0.24976143170176,293540.837210256,-424.892440060228,672.333813034459
"15_LE_N-10_1_MV.003","LE","N-10","1",0.354385385542365,-0.0752466939375359,-1.57028648963151,141369.079752771,26917.7183583569,-8511.40235221872
"16_LE_N-10_3_MV.003","LE","N-10","3",-1.48358346015722,-1.12371895573766,0.168689310300278,385543.511785207,-34925.612803241,9331.6445801089
"17_LE_N-1_3_MV.003","LE","N-1","3",-8.60541114043717,-0.163855677439905,1.75158220941531,330988.219649039,-10410.7017930368,31217.3644737747
"18_FG_N-10_4_MV.003","FG","N-10","4",2.84315071090668,0.942250469124704,1.14038519329587,-754496.21808472,54686.3874356186,51109.0802692821
"19_LE_N-1_2_MV.003","LE","N-1","2",-8.16900977582707,2.75658789067648,0.482690261468973,564522.779331018,-170375.665148217,23859.9161584062
"2_LE_N-100_1_MV.003","LE","N-100","1",4.58376921875613,-4.68524645180835,-0.795857790317265,187631.257047613,112519.94178287,-30694.3974012602
"20_FG_N-10_5_MV.003","FG","N-10","5",-0.174234344132846,3.98446156770834,0.310430492053232,-806639.744896608,36419.5911395872,31545.361757092
"21_FG_N-100_5_MV.003","FG","N-100","5",12.8376628110792,2.41898821499781,-0.00153038578262772,-896461.76904871,-22923.0337050601,-24211.5633602698
"22_FG_N-100_1_MV.003","FG","N-100","1",10.9520134943245,4.30964071894623,0.40064844752127,-910032.512242619,-34769.6851260962,-43118.6683301453
"23_FG_N-100_4_MV.003","FG","N-100","4",12.42806505073,0.696093491837662,1.00104254764299,-901089.467636417,-21943.3299706024,-34979.717667054
"24_FG_N-100_3_MV.003","FG","N-100","3",13.6040421239415,1.37625920312333,0.703761483477849,-915574.10447198,-33208.8959914478,-38263.1586303366
"25_FG_N-100_2_MV.003","FG","N-100","2",13.6450651485126,2.81275733042372,0.653437140974564,-920999.334731985,-46227.6334729588,-50655.3354196499
"26_LE_N-100_2_MV.003","LE","N-100","2",4.77451022740881,0.49688932221546,-1.58729270236962,435277.117896298,-177712.159363549,-15688.6159542671
"27_LE_N-10_5_MV.003","LE","N-10","5",2.65451422378206,-2.6427359245897,0.243485897315324,513581.675821484,-119202.605011704,17791.0654190573
"28_LE_N-10_4_MV.003","LE","N-10","4",0.677203919500283,-4.87022046666966,0.334000644797847,122853.768035012,-26541.3265226612,29140.0856309536
"29_LE_N-100_4_MV.003","LE","N-100","4",4.23144104205484,-6.10259089583407,0.527704800722912,235661.612915049,63798.2233210188,1344.84528097279
"3_FG_N-1_2_MV.003","FG","N-1","2",-10.8090837232377,0.698304483726317,-0.564259052294269,662866.999466047,161150.196471264,-55520.3790937686
"30_LE_N-100_3_MV.003","LE","N-100","3",2.23853389582926,-1.98891275188989,1.2318104976007,290545.159107274,126627.854811339,-12852.7280849396
"4_FG_N-10_1_MV.003","FG","N-10","1",-0.0912357405563924,3.30746164196551,0.552039449901623,-772749.887064044,52136.9413370213,51380.0857629688
"5_FG_N-1_3_MV.003","FG","N-1","3",-9.49246178338055,0.90468664395349,-1.13417850975038,651796.525899677,140687.155886101,-39509.9999728907
"6_LE_N-1_4_MV.003","LE","N-1","4",-8.01862653816534,4.49400910035531,-0.0633131724525625,470525.653799595,-250527.774272353,27675.3084594069
"7_LE_N-10_2_MV.003","LE","N-10","2",-1.20683013464648,1.77744255868566,-0.773351720897235,508537.267504113,-29134.7214928368,-17996.107798312
"8_FG_N-10_2_MV.003","FG","N-10","2",0.2195853955585,2.59792222041427,0.978630253893264,-770924.670678451,46863.9850248721,47891.6577406665
"9_LE_N-1_5_MV.003","LE","N-1","5",-8.16469307959005,-1.47437507663471,1.89109450836203,322502.434288825,-164527.319761223,62918.2428726639
